Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.708821 | -2.382167 | 0/12 | 5.00e-04
  2/50 | -2.050629 | -2.490502 | 0/12 | 5.00e-04
  3/50 | -2.151168 | -2.549768 | 0/12 | 5.00e-04
  4/50 | -2.215779 | -2.727187 | 0/12 | 5.00e-04
  5/50 | -2.291700 | -2.687603 | 1/12 | 5.00e-04
  6/50 | -2.317625 | -2.782989 | 0/12 | 5.00e-04
  7/50 | -2.350544 | -2.737734 | 1/12 | 5.00e-04
  8/50 | -2.376456 | -2.791268 | 0/12 | 5.00e-04
  9/50 | -2.393380 | -2.862546 | 0/12 | 5.00e-04
 10/50 | -2.411739 | -2.837651 | 1/12 | 5.00e-04
 11/50 | -2.437620 | -2.833896 | 2/12 | 5.00e-04
 12/50 | -2.457371 | -2.950460 | 0/12 | 5.00e-04
 13/50 | -2.486493 | -2.910076 | 1/12 | 5.00e-04
 14/50 | -2.503228 | -2.936434 | 2/12 | 5.00e-04
 15/50 | -2.522435 | -2.943822 | 3/12 | 5.00e-04
 16/50 | -2.543956 | -2.984133 | 0/12 | 5.00e-04
 17/50 | -2.576028 | -2.925416 | 1/12 | 5.00e-04
 18/50 | -2.575411 | -2.988788 | 0/12 | 5.00e-04
 19/50 | -2.596621 | -3.042595 | 0/12 | 5.00e-04
 20/50 | -2.616520 | -3.040139 | 1/12 | 5.00e-04
 21/50 | -2.633977 | -3.060614 | 0/12 | 5.00e-04
 22/50 | -2.651349 | -3.057668 | 1/12 | 5.00e-04
 23/50 | -2.653865 | -3.017889 | 2/12 | 5.00e-04
 24/50 | -2.666313 | -3.056701 | 3/12 | 5.00e-04
 25/50 | -2.675406 | -2.997465 | 4/12 | 5.00e-04
 26/50 | -2.683841 | -3.060779 | 0/12 | 5.00e-04
 27/50 | -2.702803 | -3.117068 | 0/12 | 5.00e-04
 28/50 | -2.700700 | -3.086381 | 1/12 | 5.00e-04
 29/50 | -2.710342 | -3.097293 | 2/12 | 5.00e-04
 30/50 | -2.719290 | -3.164481 | 0/12 | 5.00e-04
 31/50 | -2.724905 | -3.080787 | 1/12 | 5.00e-04
 32/50 | -2.735073 | -3.071713 | 2/12 | 5.00e-04
 33/50 | -2.732922 | -3.124998 | 3/12 | 5.00e-04
 34/50 | -2.746010 | -3.107897 | 4/12 | 5.00e-04
 35/50 | -2.745099 | -3.160686 | 5/12 | 5.00e-04
 36/50 | -2.752633 | -3.129898 | 6/12 | 2.50e-04
 37/50 | -2.763150 | -3.143278 | 7/12 | 2.50e-04
 38/50 | -2.768340 | -3.133914 | 8/12 | 2.50e-04
 39/50 | -2.764440 | -3.144953 | 9/12 | 2.50e-04
 40/50 | -2.766693 | -3.182865 | 0/12 | 2.50e-04
 41/50 | -2.770994 | -3.177172 | 1/12 | 2.50e-04
 42/50 | -2.770685 | -3.161120 | 2/12 | 2.50e-04
 43/50 | -2.774454 | -3.181620 | 3/12 | 2.50e-04
 44/50 | -2.767385 | -3.140924 | 4/12 | 2.50e-04
 45/50 | -2.775607 | -3.162903 | 5/12 | 2.50e-04
 46/50 | -2.769808 | -3.152845 | 6/12 | 1.25e-04
 47/50 | -2.776499 | -3.189847 | 0/12 | 1.25e-04
 48/50 | -2.779275 | -3.174404 | 1/12 | 1.25e-04
 49/50 | -2.781642 | -3.173819 | 2/12 | 1.25e-04
 50/50 | -2.779302 | -3.183636 | 3/12 | 1.25e-04
