Epoch | Train GAUSSIAN_NLL | Val GAUSSIAN_NLL | Patience | LR
  1/50 | -1.462466 | -2.196634 | 0/12 | 5.00e-04
  2/50 | -1.868063 | -2.419190 | 0/12 | 5.00e-04
  3/50 | -2.037517 | -2.461373 | 0/12 | 5.00e-04
  4/50 | -2.129613 | -2.522520 | 0/12 | 5.00e-04
  5/50 | -2.186506 | -2.546739 | 0/12 | 5.00e-04
  6/50 | -2.228885 | -2.610493 | 0/12 | 5.00e-04
  7/50 | -2.270527 | -2.666598 | 0/12 | 5.00e-04
  8/50 | -2.301737 | -2.562126 | 1/12 | 5.00e-04
  9/50 | -2.356976 | -2.731467 | 0/12 | 5.00e-04
 10/50 | -2.378687 | -2.771933 | 0/12 | 5.00e-04
 11/50 | -2.399635 | -2.809929 | 0/12 | 5.00e-04
 12/50 | -2.424264 | -2.811486 | 0/12 | 5.00e-04
 13/50 | -2.451698 | -2.847118 | 0/12 | 5.00e-04
 14/50 | -2.479775 | -2.859850 | 0/12 | 5.00e-04
 15/50 | -2.496142 | -2.927132 | 0/12 | 5.00e-04
 16/50 | -2.523542 | -2.902814 | 1/12 | 5.00e-04
 17/50 | -2.531317 | -2.891029 | 2/12 | 5.00e-04
 18/50 | -2.552712 | -2.914937 | 3/12 | 5.00e-04
 19/50 | -2.575907 | -2.944535 | 0/12 | 5.00e-04
 20/50 | -2.590676 | -2.978001 | 0/12 | 5.00e-04
 21/50 | -2.605988 | -3.029935 | 0/12 | 5.00e-04
 22/50 | -2.628837 | -2.976404 | 1/12 | 5.00e-04
 23/50 | -2.640601 | -3.018992 | 2/12 | 5.00e-04
 24/50 | -2.659251 | -3.039735 | 0/12 | 5.00e-04
 25/50 | -2.671361 | -3.059683 | 0/12 | 5.00e-04
 26/50 | -2.688282 | -3.053250 | 1/12 | 5.00e-04
 27/50 | -2.697332 | -3.116254 | 0/12 | 5.00e-04
 28/50 | -2.703647 | -3.102829 | 1/12 | 5.00e-04
 29/50 | -2.709831 | -3.089678 | 2/12 | 5.00e-04
 30/50 | -2.719406 | -3.105096 | 3/12 | 5.00e-04
 31/50 | -2.736010 | -3.113134 | 4/12 | 5.00e-04
 32/50 | -2.731739 | -3.136039 | 0/12 | 5.00e-04
 33/50 | -2.741759 | -3.106742 | 1/12 | 5.00e-04
 34/50 | -2.744375 | -3.117078 | 2/12 | 5.00e-04
 35/50 | -2.755346 | -3.127337 | 3/12 | 5.00e-04
 36/50 | -2.757002 | -3.152005 | 0/12 | 5.00e-04
 37/50 | -2.758188 | -3.103938 | 1/12 | 5.00e-04
 38/50 | -2.760374 | -3.146006 | 2/12 | 5.00e-04
 39/50 | -2.756083 | -3.122204 | 3/12 | 5.00e-04
 40/50 | -2.766770 | -3.158038 | 0/12 | 5.00e-04
 41/50 | -2.767906 | -3.171019 | 0/12 | 5.00e-04
 42/50 | -2.776856 | -3.187816 | 0/12 | 5.00e-04
 43/50 | -2.769893 | -3.166772 | 1/12 | 5.00e-04
 44/50 | -2.774045 | -3.172472 | 2/12 | 5.00e-04
 45/50 | -2.772620 | -3.204427 | 0/12 | 5.00e-04
 46/50 | -2.775456 | -3.178088 | 1/12 | 5.00e-04
 47/50 | -2.774761 | -3.180335 | 2/12 | 5.00e-04
 48/50 | -2.774570 | -3.175126 | 3/12 | 5.00e-04
 49/50 | -2.780558 | -3.160561 | 4/12 | 5.00e-04
 50/50 | -2.779901 | -3.150195 | 5/12 | 5.00e-04
