Epoch | Train MSE | Val MSE | Patience | LR
  1/50 | 0.017829 | 0.001414 | 0/12 | 5.00e-04
  2/50 | 0.006188 | 0.000757 | 0/12 | 5.00e-04
  3/50 | 0.004527 | 0.000669 | 0/12 | 5.00e-04
  4/50 | 0.003782 | 0.000854 | 1/12 | 5.00e-04
  5/50 | 0.003459 | 0.000544 | 0/12 | 5.00e-04
  6/50 | 0.003331 | 0.000384 | 0/12 | 5.00e-04
  7/50 | 0.003267 | 0.000366 | 0/12 | 5.00e-04
  8/50 | 0.003237 | 0.000284 | 0/12 | 5.00e-04
  9/50 | 0.003167 | 0.000394 | 1/12 | 5.00e-04
 10/50 | 0.003120 | 0.000693 | 2/12 | 5.00e-04
 11/50 | 0.003121 | 0.000338 | 3/12 | 5.00e-04
 12/50 | 0.003136 | 0.000481 | 4/12 | 5.00e-04
 13/50 | 0.003156 | 0.000315 | 5/12 | 5.00e-04
 14/50 | 0.003078 | 0.000237 | 0/12 | 5.00e-04
 15/50 | 0.003037 | 0.000316 | 1/12 | 5.00e-04
 16/50 | 0.003090 | 0.000305 | 2/12 | 5.00e-04
 17/50 | 0.003006 | 0.000456 | 3/12 | 5.00e-04
 18/50 | 0.003032 | 0.000581 | 4/12 | 5.00e-04
 19/50 | 0.003020 | 0.000448 | 5/12 | 5.00e-04
 20/50 | 0.003014 | 0.000522 | 6/12 | 2.50e-04
 21/50 | 0.002987 | 0.000438 | 7/12 | 2.50e-04
 22/50 | 0.002946 | 0.000632 | 8/12 | 2.50e-04
 23/50 | 0.003008 | 0.000299 | 9/12 | 2.50e-04
 24/50 | 0.002988 | 0.000279 | 10/12 | 2.50e-04
 25/50 | 0.002975 | 0.000320 | 11/12 | 2.50e-04
 26/50 | 0.002956 | 0.000444 | 12/12 | 1.25e-04
